Material,Radius (nm),Host n,Resonance (nm),Qext at resonance
Au,40,1.0,518,2.6338
Au,40,1.33,549,6.4696
Au,40,1.45,570,7.5946
Au,40,1.52,582,8.2151
Au,40,1.6,595,8.6255
Ag,40,1.0,379,11.4687
Ag,40,1.33,444,9.8635
Ag,40,1.45,473,9.3446
Ag,40,1.52,491,9.1886
Ag,40,1.6,511,9.024
